ADM2_PCODE,rfh_mean,rfh_median,rfh_std,rfh_cv,rfh_winter,rfh_spring,rfh_summer,rfh_autumn,r1h_mean,r1h_median,r1h_std,r1h_cv,r1h_winter,r1h_spring,r1h_summer,r1h_autumn,r3h_mean,r3h_median,r3h_std,r3h_cv,r3h_winter,r3h_spring,r3h_summer,r3h_autumn
MA009006,4.0325015037593985,3.6766,3.185115892392711,0.7898610550853629,7.546342288557213,3.449884577114428,0.35912222222222223,4.730244444444445,12.150872869674185,12.547,9.275273002431087,0.7633421155759155,24.09487039800995,11.683992039800994,1.4221666666666666,11.228566666666667,36.984488533834586,34.1692,26.923021530026723,0.7279544100061486,67.74650796019901,50.28926741293532,11.632444444444445,17.602055555555555
MA006003,7.703409210526316,7.5175,6.222464651334902,0.8077546552807062,12.889011691542288,8.498519402985076,0.43798888888888887,8.897499999999999,23.08605169172932,28.145,17.572198067424083,0.7611608213508159,41.88632935323383,27.53305696517413,2.222122222222222,20.350466666666666,69.05527443609023,76.1278,46.3070044597945,0.6705788201978842,120.31224825870646,99.91235273631841,25.953300000000006,28.799044444444448
MA006002,8.774208395989975,9.0275,6.250763255946054,0.7124019596802378,14.11706169154229,10.898664179104477,0.9259222222222223,9.042044444444445,26.315633270676695,28.8125,17.715131793431567,0.6731790039486301,44.076244278606964,34.94377039800995,4.141477777777778,21.70121111111111,78.8646212406015,92.7235,47.12688052296204,0.5975668148989972,121.08998208955224,121.80689527363184,36.15128888888889,35.119899999999994
MA003002,6.133222994987469,6.6049,3.169521515118645,0.5167791090767475,7.219248756218906,6.470248507462686,1.527388888888889,9.294444444444444,18.41068865914787,19.2716,8.90357715683502,0.48360913172093795,23.501607462686565,19.347145522388058,5.685711111111111,25.016966666666665,55.51208853383458,58.4558,22.469610194325973,0.40476967788071533,80.78479353233831,59.529296268656715,32.37394444444445,48.91653333333334
MA007008,7.636697243107769,8.1647,4.174881902759193,0.5466868424733067,10.522681592039802,9.697150248756218,1.1758666666666666,9.076144444444443,22.89287637844612,28.794,11.58985727168448,0.5062647908498056,32.69311616915424,29.605560199004977,5.4184222222222225,23.604211111111113,68.52769580200501,81.6852,30.03272372911992,0.4382567278475633,92.51670248756218,94.70424104477611,41.27586666666666,44.85388888888889
MA004003,12.863023245614034,15.3584,7.860611288435471,0.6111013824930885,18.913228606965173,15.059777114427861,1.7954222222222223,15.558711111111114,38.56508402255639,48.6715,22.268402458626767,0.5774239321144009,59.68083109452736,46.56196019900497,8.488388888888888,39.08805555555556,115.47097362155388,135.311,58.37551568264711,0.5055427684706965,178.32450746268657,151.53367835820896,64.85062222222221,65.67635555555555
MA001002,13.284696992481203,15.5599,8.617243093152625,0.6486593633283291,21.25927164179105,16.433360199004973,1.7995000000000003,13.47812222222222,39.841847180451126,51.2097,24.81243373922662,0.6227731768270306,65.82639925373135,51.85517512437811,7.9666,33.14348888888889,119.41396992481202,137.6656,66.37892523843341,0.555872359659664,181.23050199004976,175.41626616915426,64.85912222222223,54.36485555555555
MA010004,21.41207030075188,24.2312,17.130928149478343,0.8000594014898594,40.4443407960199,21.87996119402985,0.7454444444444445,22.283077777777777,64.19469862155388,75.8819,48.76469490301048,0.7596374147730222,125.6260487562189,72.14018159203981,5.134544444444444,52.826855555555554,192.1920134085213,196.1841,130.26712656637253,0.6777967734251169,340.27748706467656,273.80607064676616,71.00201111111112,80.20218888888888
MA010008,19.590991729323306,23.0198,15.55564433762031,0.7940202595429108,35.76590696517413,20.72212487562189,0.7225222222222222,20.891199999999998,58.766395175438596,70.9625,43.767511208262626,0.7447710732911391,111.91307761194028,68.0282962686567,4.829477777777778,49.34914444444445,176.3555,188.0208,116.83661260066168,0.6625062025321675,307.76773233830846,252.28088855721393,67.08158888888887,75.15031111111112
MA010001,14.464600313283206,17.4723,9.536375604501833,0.6592906404571953,23.148246517412932,15.939328855721394,1.5286555555555554,17.088255555555556,43.40183377192983,56.1957,27.062929813971227,0.6235434649186228,72.96842736318409,51.0943644278607,6.6544888888888885,42.32552222222221,130.44729981203005,149.76,72.9747604533379,0.5594194786591362,207.00157462686568,181.52599179104476,60.04252222222222,71.28527777777778
